"Qty","Value","Device","Farnell Order Code"
2,"22R","Resistor 0603",1500608
8,"100R","Resistor 0603",1500583
2,"220R","Resistor 0603",1500609
7,"560R","Resistor 0603",1500642
4,"4K7","Resistor 0603",1500637
7,"10K","Resistor 0603",1500585
4,"22pF","Capacitor 0603",1414622
12,"100nF","Capacitor 0603",1650834
1,"1uF","Capacitor 0603",1650837
1,"4.7uF","Electrolytic Capacitor 0405",1187021
5,"10uF","Electrolytic Capacitor 0405",1469324
1,"100uF","Electrolytic Capacitor 0603",8823065
2,"8MHz","Crystal",1611741
1,,"AT90USB162",1455073
5,,"Ferrite Bead 0603",1515756
3,,"Red LED 0805",1226392
2,,"Yellow LED 0805",1226420
2,,"Green LED 0805",1226373
1,,"PRTR5V0U2X",1524157
1,,"SD Card Holder",9186174
2,,"Shottky Diode",1651108
1,,"SMA",1248989
1,,"TC2117-3.3V",1605581
1,,"USB Connector",1753806
1,,"XMEGA32A4",1748557
1,,"FSA03","Already Have"
1,,"NIM2","Already Have"
2,,"Pin Header 1x11","Maplin"
1,,"Pin Header 1X2","Maplin"
1,,"Pin Header 2x3","Maplin"
,,,
,"Check dimensions on all electrolytics!",,
,"Search XMEGA*A4 on Farnell; Some are out of stock",,
